KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Unie H.A.V.E.L.,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
542351,ÿevniËov,1 128,702,698,"5,73 %","0,00 %","0,00 %","8,30 %","0,14 %","8,02 %","4,44 %","0,14 %","0,42 %","1,86 %","0,14 %","0,00 %","10,45 %","0,00 %","0,00 %","4,29 %","35,53 %","0,00 %","0,00 %","0,57 %","0,00 %","0,57 %","0,00 %","0,00 %","18,05 %","1,28 %"
542369,Senec,201,138,137,"19,70 %","0,00 %","0,00 %","13,86 %","0,00 %","3,64 %","8,75 %","0,72 %","0,00 %","1,45 %","0,00 %","0,00 %","11,67 %","0,00 %","0,00 %","3,64 %","21,89 %","0,00 %","0,72 %","0,00 %","0,00 %","0,72 %","0,72 %","0,00 %","10,94 %","1,45 %"
542377,Senomaty,939,606,603,"10,61 %","0,16 %","0,33 %","9,78 %","0,00 %","8,62 %","9,45 %","0,66 %","0,66 %","1,32 %","0,00 %","0,16 %","7,96 %","0,00 %","0,00 %","3,48 %","31,34 %","0,00 %","0,33 %","1,49 %","0,00 %","0,33 %","0,16 %","0,16 %","12,76 %","0,16 %"
542385,Skryje,145,97,97,"15,46 %","0,00 %","0,00 %","6,18 %","0,00 %","6,18 %","7,21 %","2,06 %","2,06 %","0,00 %","0,00 %","0,00 %","16,49 %","0,00 %","0,00 %","6,18 %","25,77 %","0,00 %","0,00 %","3,09 %","0,00 %","0,00 %","0,00 %","0,00 %","6,18 %","3,09 %"
542415,Slabce,600,358,356,"8,70 %","0,00 %","0,00 %","7,58 %","0,28 %","6,46 %","14,60 %","0,56 %","0,28 %","2,52 %","0,00 %","0,00 %","7,30 %","0,00 %","0,00 %","3,08 %","33,70 %","0,00 %","0,28 %","1,12 %","0,00 %","0,84 %","0,00 %","0,00 %","12,35 %","0,28 %"
565407,Smilovice,46,27,27,"7,40 %","0,00 %","0,00 %","22,22 %","0,00 %","22,22 %","7,40 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","3,70 %","0,00 %","0,00 %","0,00 %","22,22 %","0,00 %","3,70 %","7,40 %","0,00 %","0,00 %","0,00 %","0,00 %","3,70 %","0,00 %"
542431,SrbeË,268,121,121,"3,30 %","0,00 %","0,00 %","17,35 %","0,00 %","4,95 %","11,57 %","1,65 %","0,00 %","1,65 %","0,00 %","0,00 %","1,65 %","0,00 %","0,00 %","5,78 %","36,36 %","0,00 %","0,00 %","1,65 %","0,00 %","0,00 %","0,00 %","0,82 %","13,22 %","0,00 %"
542458,SvojetÌn,259,140,140,"5,00 %","0,00 %","0,00 %","10,00 %","0,00 %","8,57 %","7,85 %","0,00 %","3,57 %","0,71 %","0,00 %","0,00 %","15,00 %","0,00 %","0,00 %","5,71 %","25,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,71 %","0,00 %","0,00 %","17,85 %","0,00 %"
542466,S˝ko¯ice,442,291,290,"8,27 %","0,00 %","0,00 %","5,17 %","0,00 %","5,51 %","11,37 %","0,68 %","0,34 %","5,51 %","0,00 %","0,34 %","13,79 %","0,00 %","0,00 %","6,89 %","27,58 %","0,00 %","0,00 %","0,68 %","0,34 %","1,72 %","0,00 %","0,34 %","11,03 %","0,34 %"
542474,äanov,413,250,250,"8,40 %","0,80 %","0,00 %","10,40 %","0,00 %","6,00 %","12,80 %","1,20 %","0,80 %","1,20 %","0,00 %","0,40 %","8,80 %","0,00 %","0,00 %","9,60 %","24,80 %","0,00 %","0,00 %","0,40 %","0,00 %","0,40 %","0,00 %","0,00 %","14,00 %","0,00 %"
